"","SP09-1935 JA","SP01-1399 JA","SP10-1808 JA","T002235 FFPE","SP01-2474/2 JA","T061117-3 FFPE","T001803 FFPE","SP10-2529 JA","SP09-00448 JA","SP01-1096 JA","T100080-4 FFPE","T022833 FFPE","SP04-1732 JA","SP00-5875 JA","T960067 FFPE","T022120 FFPE","T061532-2 FFPE","SP10-1007 JA","T080803-6 FFPE","95-11-P018 SN1 BSDNA","95-11-P018 SP1 BSDNA","93-10-3403 SP3","96-04-P033 SP1","T010889 BSDNA","T980548-1 BSDNA","95-08-P248","T090396-2 BSDNA","95-04-P093","95-06-P073","T990-515-1 BSDNA","95-07-P029 SP1 BSDNA","96-02-P402 BSDNA","96-04-P009 SP5","94-09-2902 SP1","95-08-P418","93-05-6301 SP3","95-08-P250","T021134-1 BSDNA","95-01-P045","95-01-5401 SP1 BSDNA","95-08-P358","95-08-P243","T00203P-2 BSDNA","95-10-P864 BSDNA","94-03-1902 SP2 BSDNA","96-02-P046","95-07-P004","95-08-P043 BSDNA","94-12-P065 BSDNA","T030486-1 BSDNA","T012369-1 BSDNA","T001585-1 BSDNA","95-01-5401 SN1 BSDNA","T000086-1 BSDNA","93-05-6301 SN2","T030521-1 BSDNA","T002020-1 BSDNA","T010722-4 BSDNA","T020949 BSDNA","94-06-3702 SN1 BSDNA","95-09-P113","95-12-A091","94-11-P036","96-02-P050 SP1","95-12-P310 SP1 BSDNA","96-02-P004 SP2 BSDNA","96-02-P012 SP1","95-08-P340 BSDNA ","95-12-P310 SN1","94-04-1903 SP1","96-04-P017 SP1","95-08-P284","95-10-P044 SP2 BSDNA","96-04-P029 SP1","94-11-P037 BSDNA","96-06-G032 SP1","95-08-P318 BSDNA","94-11-V046","94-08-P018 BSDNA","94-09-P003 BSDNA","94-03-1902 SN2","95-11-P306 SP1","95-08-P313 BSDNA","95-08-P271","91-04-A132","95-09-P067","94-10-P003 SP1","95-05-G051 SP1","96-02-P067 SP3","95-08-P415 BSDNA","95-05-G051 SN1","96-04-P023 SP BSDNA","T020755","T001798 Frozen","T010164","T012619","T021211","T000966 Rep","T022614","T000966","T980907","T010736","T980805","T012688","T970159"
"GDF10_E39_F",0.1774863,0.3848772,0.1968939,0.1378894,0.1271025,0.3396237,0.3020245,0.3739056,0.35108,0.13919,0.2150717,0.2738798,0.1271898,0.2538334,0.1844992,0.2847027,0.598259,0.5066243,0.2006533,0.08502392,0.1736861,0.2133461,0.215187,0.623585,0.1727609,0.1473597,0.1974895,0.1335817,0.08621072,0.1299725,0.09410531,0.4406768,0.2145126,0.3402818,0.3511313,0.2762802,0.650235,0.2730682,0.6645295,0.5677716,0.3097906,0.2736569,0.1801979,0.3416823,0.2648501,0.3455182,0.3095928,0.2034172,0.3461318,0.2564965,0.2389411,0.2769841,0.2467585,0.1591903,0.1432608,0.2739641,0.2772639,0.2975274,0.3377399,0.3125942,0.2690056,0.2964971,0.3125062,0.3017016,0.6562653,0.1670478,0.1142382,0.6738707,0.3093864,0.3049225,0.286262,0.2885163,0.4843555,0.2931688,0.2742423,0.2827702,0.1721263,0.1769666,0.3466299,0.3043853,0.2992363,0.2715273,0.2979275,0.4279143,0.3166832,0.2746054,0.2947024,0.2954234,0.1870943,0.1564743,0.3339134,0.2945416,0.1069032,0.2099474,0.2334407,0.1044388,0.2321252,0.1971193,0.3233252,0.2693109,0.1977176,0.2171212,0.1818831,0.270917,0.1656817
"GDF10_P95_R",0.1715339,0.502427,0.1749884,0.1002584,0.104734,0.2209992,0.2653533,0.4598221,0.2218731,0.1643527,0.2080432,0.2206052,0.1020426,0.2146316,0.2311673,0.2042087,0.63047,0.5770361,0.2109014,0.07704669,0.1071551,0.1191776,0.1481974,0.1444332,0.1049591,0.1074764,0.108503,0.09401061,0.1032223,0.08114716,0.06099561,0.5977396,0.1676112,0.2002339,0.1745442,0.1624635,0.7036366,0.1872291,0.6927714,0.7971853,0.1761952,0.1634338,0.112957,0.6446581,0.1666973,0.2997553,0.1592061,0.1984377,0.1602405,0.1789067,0.1613435,0.2144352,0.1380769,0.1208927,0.1006235,0.2142082,0.2008727,0.1832993,0.2482707,0.1875641,0.1613612,0.174868,0.1632792,0.1761636,0.7497226,0.1166233,0.1165362,0.6931915,0.1795109,0.1863289,0.1644498,0.1911118,0.4891418,0.1835047,0.1889269,0.1795387,0.107992,0.06168927,0.1227944,0.2137301,0.1927044,0.1583982,0.1641369,0.4975687,0.180421,0.1626615,0.1534714,0.3417231,0.1137846,0.09433156,0.07429327,0.1924904,0.1307234,0.1187097,0.1819786,0.1006791,0.1692653,0.1616224,0.2439028,0.2235775,0.2269005,0.1764834,0.1987434,0.1858992,0.1897175
"GFAP_P1214_F",0.7655004,0.7673021,0.7893894,0.5804999,0.7117495,0.7577574,0.734825,0.7175028,0.6981339,0.7256643,0.7803556,0.8159731,0.5347713,0.8096938,0.6729472,0.7415712,0.8078555,0.8226321,0.8341243,0.7002199,0.5027018,0.632427,0.6724353,0.1013145,0.7331059,0.7351319,0.7094562,0.5537513,0.5726191,0.5824013,0.5988638,0.8268427,0.8650324,0.7284301,0.6890046,0.6724926,0.7354756,0.7978259,0.7971115,0.8046831,0.7816772,0.7853952,0.7080017,0.8209097,0.6587828,0.8494619,0.826629,0.5747009,0.7566477,0.8101226,0.8457059,0.7817593,0.7667879,0.7851996,0.8206508,0.8499457,0.8236614,0.8196646,0.8483697,0.780164,0.6350106,0.7318801,0.7960917,0.7051379,0.7720321,0.73383,0.7678863,0.8172641,0.8143268,0.7727348,0.738906,0.7629701,0.7520502,0.7058742,0.8070585,0.7463237,0.7298598,0.7086103,0.7456693,0.8488436,0.821046,0.8262047,0.8099847,0.7881553,0.8093274,0.7509412,0.5677037,0.8311861,0.660656,0.7989658,0.4450601,0.8480768,0.7168077,0.6131486,0.8337579,0.7383158,0.8482607,0.7626613,0.8294008,0.7972756,0.803579,0.8317872,0.8011117,0.8451387,0.8031171
"GFAP_P56_R",0.6835659,0.7180474,0.7675338,0.5167729,0.4925236,0.77622,0.6256055,0.658016,0.4632758,0.5710096,0.5513093,0.6983632,0.3736725,0.7416178,0.6814188,0.473429,0.7245295,0.7681391,0.8314061,0.2414256,0.3556447,0.474593,0.2138266,0.1769367,0.670348,0.6887549,0.6264042,0.3129086,0.538853,0.6332134,0.4299661,0.7870744,0.5575663,0.5807126,0.5708361,0.4999687,0.6102934,0.7090809,0.673725,0.6386416,0.713704,0.7479054,0.668303,0.7409275,0.5218838,0.7611494,0.7536006,0.2262854,0.5764059,0.7538483,0.738086,0.733116,0.7291636,0.6687098,0.6938428,0.7817827,0.7377194,0.7492182,0.7691957,0.4093437,0.26262,0.5994065,0.6829916,0.611152,0.58009,0.6020512,0.607588,0.7522517,0.7315253,0.7035342,0.7448072,0.5694748,0.7007993,0.5343812,0.7629361,0.5963202,0.5882337,0.5713627,0.6153336,0.6151881,0.7475802,0.6579092,0.4891506,0.6724346,0.5634123,0.5857503,0.24162,0.6965226,0.3168885,0.702719,0.142885,0.7885147,0.6090487,0.3908383,0.7445896,0.4678704,0.8109702,0.6829241,0.7671611,0.6972743,0.7542281,0.7244427,0.7632312,0.8392071,0.7236246
"GFI1_E136_F",0.2472908,0.08826598,0.07944521,0.07357378,0.06106348,0.07226661,0.07482594,0.08854933,0.1015297,0.09725857,0.07770213,0.1020148,0.06067206,0.1767014,0.08347293,0.3353112,0.07261843,0.0782911,0.07036452,0.09744406,0.1108779,0.1248741,0.1433641,0.1701877,0.08867552,0.04969556,0.06703325,0.0641546,0.05322602,0.0721208,0.0484491,0.1557629,0.1925166,0.1738241,0.1137836,0.1935027,0.175827,0.09530862,0.07363024,0.09497521,0.08250993,0.07043171,0.08258663,0.118845,0.2081948,0.1508928,0.1504202,0.1170289,0.1305099,0.2409009,0.1583783,0.1831298,0.267298,0.08084908,0.07542388,0.08046992,0.1004026,0.2682854,0.05610999,0.1759139,0.106219,0.1878939,0.1203111,0.1232228,0.06681184,0.06600586,0.1056862,0.1116983,0.1348547,0.1436469,0.1160988,0.07679927,0.0927043,0.1068103,0.2204294,0.1162774,0.03932835,0.04680025,0.07754317,0.1377964,0.1039794,0.1125018,0.112775,0.08145805,0.1333007,0.09744342,0.1666638,0.1044318,0.08873229,0.09917612,0.06622672,0.08475725,0.1513956,0.08320051,0.1180901,0.08892882,0.2232989,0.177808,0.2333213,0.1455149,0.2058594,0.1390291,0.1465373,0.0817389,0.2103791
"GFI1_P208_R",0.4884751,0.2882026,0.4970753,0.06361926,0.1857095,0.08292007,0.5320042,0.306212,0.5688719,0.2151442,0.07982544,0.08435084,0.1877288,0.3815512,0.6587922,0.454555,0.1605391,0.1564641,0.06608966,0.2070154,0.2153906,0.2802297,0.1460807,0.1199692,0.4710523,0.161341,0.3274076,0.1329313,0.05498909,0.2811962,0.04802918,0.5294221,0.4127477,0.4611862,0.3693495,0.4408834,0.3310111,0.6479768,0.2670387,0.2909102,0.3013518,0.2265288,0.4671292,0.3138788,0.5145,0.5283723,0.2231133,0.08206183,0.4855689,0.6456522,0.6378462,0.6552094,0.7072099,0.6708867,0.4288302,0.6889912,0.5755275,0.6391461,0.2864582,0.6538551,0.2389044,0.3543251,0.6541807,0.4933361,0.296446,0.2471541,0.368533,0.3247763,0.6087396,0.3248067,0.3033465,0.394844,0.3140268,0.5264859,0.6302289,0.4487226,0.1711803,0.05954188,0.1738449,0.3759612,0.5508963,0.4467377,0.344714,0.4414378,0.3965737,0.382991,0.4037987,0.1843177,0.09781856,0.5211452,0.1769894,0.1786106,0.4251274,0.3550158,0.5650471,0.229903,0.6227034,0.4987956,0.5435795,0.50821,0.6317827,0.6326975,0.3667814,0.2418085,0.5837267
"GFI1_P45_R",0.08849113,0.0512736,0.06896953,0.06330917,0.04223676,0.1010371,0.0795306,0.03970215,0.08785751,0.03796542,0.08502383,0.06829245,0.06037179,0.08568974,0.06515087,0.2441575,0.04301352,0.06721134,0.07628321,0.02545806,0.0339315,0.05663035,0.05058021,0.6100923,0.04561378,0.03900019,0.05007072,0.05269879,0.03628524,0.0390034,0.02542805,0.06950386,0.07678841,0.09542625,0.0720502,0.1103732,0.0657979,0.05962342,0.06655698,0.05264969,0.06292604,0.05279735,0.07241021,0.0457443,0.06659341,0.07076737,0.06512346,0.07757302,0.0775359,0.05636997,0.06348308,0.05453371,0.06750495,0.03882891,0.03689502,0.05789514,0.04986968,0.0611527,0.05671141,0.05585865,0.0663972,0.09151322,0.05839371,0.08509682,0.06812494,0.04812175,0.04041609,0.06156214,0.05049554,0.06818278,0.06650364,0.060258,0.07930037,0.06294239,0.06408621,0.07290495,0.0272694,0.05240101,0.1404413,0.0530973,0.06175379,0.06134226,0.06912161,0.04935847,0.06454076,0.06493749,0.06136341,0.06642757,0.03250677,0.02845124,0.2976173,0.04376558,0.08581319,0.09759632,0.07676895,0.0544617,0.07560734,0.07818529,0.1396369,0.1038577,0.07654382,0.07916161,0.08113138,0.05249663,0.07099435
"GJB2_E43_F",0.08399002,0.05464994,0.07009999,0.06265451,0.04980526,0.07764415,0.0921497,0.07414752,0.09256826,0.04291832,0.09836406,0.1095506,0.09622817,0.1081135,0.08923753,0.1210205,0.04685541,0.07932568,0.08769056,0.03520811,0.07537708,0.08582117,0.05908285,0.1871053,0.05822722,0.07394876,0.05373377,0.03670199,0.03507953,0.03767744,0.05361113,0.07256095,0.0671434,0.1492101,0.1253859,0.1168664,0.765224,0.07335766,0.07361565,0.1815263,0.1079557,0.05736205,0.07184525,0.04490296,0.05658035,0.2765373,0.09152235,0.07147115,0.08903444,0.1041933,0.1012838,0.0617669,0.08449806,0.04779089,0.04494805,0.04845442,0.1002341,0.1279974,0.06643962,0.1339337,0.06761697,0.07224178,0.09058976,0.06715736,0.4015981,0.07299672,0.03915053,0.6743178,0.08095625,0.1136163,0.06288296,0.08303174,0.09310395,0.08513258,0.09349427,0.08155333,0.0460559,0.02998487,0.05599305,0.08827346,0.09708166,0.08387622,0.06843788,0.08758912,0.1382657,0.06178134,0.07720241,0.06796454,0.03702952,0.03967276,0.0657097,0.07429555,0.07345834,0.0637421,0.07944933,0.04728484,0.0809879,0.09156882,0.1067418,0.1133844,0.06595607,0.0981812,0.06995622,0.07663986,0.123571
"GJB2_P791_R",0.1382489,0.1234533,0.233558,0.06569743,0.06050834,0.06678001,0.153116,0.1128951,0.08845486,0.06357774,0.07771779,0.09716032,0.06239221,0.2528726,0.06110597,0.08567245,0.06585135,0.0893527,0.08434325,0.04746802,0.04716988,0.08585763,0.06245438,0.2068544,0.06483233,0.05164076,0.08583105,0.0568249,0.05245413,0.05382117,0.04296813,0.136554,0.1661663,0.08346114,0.116283,0.09372662,0.4219773,0.1250271,0.0959641,0.1667696,0.1490357,0.06492795,0.07955986,0.1308159,0.1046246,0.1473851,0.09236361,0.08019379,0.1138294,0.09700844,0.08778547,0.09113492,0.1346305,0.06088764,0.1297682,0.1536999,0.1039401,0.09013198,0.1303518,0.09900046,0.1080091,0.1107288,0.09327865,0.06457528,0.2095717,0.07013687,0.06974662,0.4108213,0.1960937,0.1371927,0.1000116,0.103548,0.1096252,0.08807445,0.1073524,0.08516189,0.06026496,0.07146178,0.1693548,0.1218936,0.09830689,0.07581202,0.1002757,0.2117839,0.1229789,0.09417912,0.09852822,0.1315192,0.0698641,0.1973356,0.2126325,0.1069709,0.1031706,0.1057455,0.144566,0.05219639,0.1113961,0.1092888,0.1066141,0.1301566,0.1055745,0.1082231,0.1381702,0.08002094,0.1653347
"GJB2_P931_R",0.3531752,0.2887927,0.6119183,0.07181612,0.07533431,0.371343,0.1930946,0.2747213,0.552565,0.1116126,0.6699628,0.1243328,0.1232548,0.3512054,0.08591411,0.429951,0.2193092,0.3496486,0.4303558,0.2980936,0.2627405,0.2332869,0.1913248,0.2742988,0.3958825,0.08193353,0.2646748,0.1153622,0.1224225,0.2078708,0.09156085,0.4639489,0.3401346,0.3170911,0.3042702,0.5273584,0.7026245,0.5287194,0.4878264,0.6082138,0.269586,0.1843772,0.3247777,0.3411553,0.314389,0.5605154,0.1682043,0.4004215,0.4598841,0.4810319,0.5569101,0.4654281,0.6687628,0.4156644,0.3188226,0.5773044,0.3967141,0.5803462,0.2020656,0.5205095,0.3337876,0.4267102,0.4999244,0.3939702,0.571331,0.4050944,0.2482212,0.6565232,0.6359371,0.449701,0.493893,0.3593956,0.222781,0.5456459,0.4625674,0.382243,0.1677952,0.09923071,0.2505303,0.3392339,0.4530519,0.4301059,0.1919092,0.5887991,0.3984342,0.4186614,0.4433795,0.5309523,0.227971,0.161093,0.2471608,0.2966019,0.3195345,0.2995161,0.4950853,0.1474307,0.5022134,0.3257348,0.4309397,0.353709,0.4250817,0.5494511,0.4015451,0.2381711,0.3551495
"GLI2_E90_F",0.6404424,0.8606691,0.7692394,0.4458812,0.7481322,0.8893157,0.873298,0.7512502,0.7844168,0.7972403,0.7265137,0.7488943,0.6768525,0.5956118,0.8502992,0.7251099,0.77855,0.7946664,0.8347172,0.5851042,0.5403823,0.7518302,0.2982873,0.182065,0.6775793,0.87186,0.7427198,0.6522825,0.4731922,0.792757,0.2586271,0.814782,0.5977624,0.8656876,0.8345134,0.7850904,0.8258462,0.8048748,0.7636558,0.7971405,0.8755249,0.9046382,0.7973536,0.6788324,0.8177642,0.622461,0.8728096,0.09371351,0.8544543,0.8657177,0.8315794,0.8517694,0.8906348,0.8187854,0.7386726,0.8508936,0.8424523,0.841374,0.9037208,0.8168012,0.6018762,0.8091843,0.8516654,0.6387001,0.7680761,0.74651,0.7590424,0.8879005,0.857691,0.8521157,0.6731933,0.8260216,0.8423468,0.84338,0.8955774,0.8799758,0.8476057,0.2603288,0.8213867,0.8813142,0.8398711,0.8218468,0.8373711,0.8995885,0.5763527,0.828235,0.7938471,0.8572535,0.3055598,0.7869883,0.4582856,0.8798609,0.7629636,0.8162383,0.8412037,0.7416281,0.8305867,0.7808523,0.8565766,0.8501534,0.8885578,0.8262393,0.8323223,0.9164342,0.8157642
"GLI2_P295_F",0.4259312,0.6179125,0.4829447,0.4502525,0.6960576,0.7387695,0.7490441,0.5963244,0.7581416,0.5798637,0.4842408,0.5775558,0.5557035,0.5844433,0.1248101,0.5798838,0.5781004,0.6294602,0.8236034,0.3750255,0.5232439,0.6452737,0.3709197,0.1563083,0.6391726,0.7092588,0.6550388,0.3350467,0.3775984,0.705507,0.2807822,0.6474029,0.7456428,0.7595304,0.741693,0.7173252,0.6106629,0.7544285,0.3954517,0.3594539,0.6784867,0.7919496,0.6916236,0.5387781,0.766238,0.5762341,0.6966795,0.2517146,0.7531036,0.7831292,0.8205078,0.7805127,0.8372123,0.7792675,0.7538147,0.834295,0.807274,0.8059091,0.8418651,0.6587697,0.637651,0.6962315,0.7942721,0.7111158,0.6791481,0.7195354,0.7261229,0.7140654,0.822284,0.7585458,0.5906153,0.6880901,0.7897204,0.7160881,0.7822795,0.7766905,0.7039298,0.2287091,0.7068194,0.8202358,0.7846403,0.7143645,0.832893,0.7288172,0.6870488,0.7834259,0.7023572,0.7634144,0.4184223,0.7160797,0.2974633,0.8373077,0.6767582,0.7333373,0.8391378,0.5915091,0.7804134,0.7393374,0.8067164,0.7444462,0.8180093,0.7899696,0.7659935,0.856576,0.7632863
"GLI3_E148_R",0.7737545,0.7796523,0.7957189,0.5579084,0.6575794,0.8160503,0.8011498,0.68355,0.7522591,0.6878392,0.681718,0.8070731,0.5787196,0.8060474,0.7551391,0.7292917,0.7424933,0.8172621,0.7850965,0.7131689,0.553525,0.6425277,0.6276898,0.1584269,0.6123626,0.7539586,0.4924412,0.6067817,0.3068803,0.3601882,0.3414246,0.7772256,0.5121898,0.7673306,0.7473471,0.66303,0.8192382,0.5484444,0.7785776,0.6168751,0.7577448,0.8319201,0.7039789,0.6590304,0.8446888,0.7426939,0.7276774,0.3199299,0.756697,0.7433059,0.7194802,0.7533271,0.6624485,0.582522,0.6023224,0.7522476,0.7294431,0.7077875,0.8099845,0.7512442,0.6525298,0.8236968,0.7850797,0.5262879,0.725484,0.6998336,0.6570978,0.7882541,0.7616095,0.7215813,0.7467756,0.7018223,0.7458116,0.7700493,0.8085509,0.7479578,0.704882,0.2908569,0.68342,0.7667704,0.7523945,0.791707,0.8177717,0.806093,0.503786,0.7558575,0.7595925,0.7655003,0.6440136,0.6077247,0.582289,0.796578,0.6427023,0.7612282,0.667013,0.6730389,0.7411802,0.7726347,0.7548118,0.7608617,0.7999476,0.7106482,0.8070881,0.8481223,0.6020669
"GLI3_P453_R",0.2034895,0.3690309,0.1009811,0.07767246,0.06600191,0.1930682,0.1136302,0.2640394,0.09277524,0.1230955,0.1182541,0.3137428,0.07360058,0.2246451,0.0687957,0.3317776,0.221982,0.3743849,0.1248214,0.08142699,0.09200816,0.1250477,0.1392757,0.130861,0.09702705,0.09439957,0.08855978,0.094961,0.05922397,0.08770692,0.04526185,0.3528743,0.1309447,0.1606287,0.1640362,0.1946613,0.6642241,0.2312215,0.2799864,0.1457026,0.09392859,0.1320636,0.09554877,0.1073145,0.134185,0.2244634,0.1859202,0.1425287,0.2157008,0.1966392,0.1600544,0.1662183,0.2012669,0.08533743,0.1409827,0.1755929,0.1377107,0.1323113,0.1245722,0.2243763,0.1375213,0.1693563,0.1763497,0.1474189,0.6052326,0.1200246,0.1416585,0.5213757,0.2014482,0.1986353,0.1542569,0.1368846,0.378074,0.2224369,0.1627575,0.1521411,0.09896788,0.06963594,0.1156615,0.1362435,0.1176234,0.1721891,0.1698086,0.4914592,0.09824872,0.1535358,0.1497498,0.2061245,0.1258767,0.1877193,0.102731,0.1598497,0.1071336,0.1028139,0.2319977,0.06723178,0.1585369,0.2093208,0.1673769,0.2022698,0.2286555,0.2045214,0.1448528,0.1268196,0.1500442
"GML_E144_F",0.7366812,0.7494908,0.7620162,0.5489985,0.6699731,0.7510496,0.7456319,0.6716088,0.6878524,0.7023864,0.7161561,0.7630245,0.4666527,0.7564526,0.6111976,0.4865424,0.7057154,0.8246767,0.7569039,0.6965957,0.4087757,0.4049547,0.7410808,0.1780287,0.7049798,0.6796871,0.5859423,0.4851145,0.5567683,0.3690016,0.2073433,0.5994108,0.8128474,0.7249819,0.7103264,0.3113346,0.7131698,0.7069409,0.7396798,0.7755527,0.7472987,0.7483918,0.6982041,0.5136555,0.8385603,0.7916594,0.7465529,0.7860584,0.754005,0.766114,0.8105557,0.7456312,0.7437305,0.6929196,0.4256584,0.8070745,0.7385851,0.8130882,0.8587975,0.7840213,0.5063477,0.4374838,0.8448868,0.4318642,0.4750471,0.4772803,0.657412,0.7682589,0.5541012,0.7191604,0.7734529,0.7291605,0.529816,0.7938504,0.8421791,0.7251855,0.7089567,0.6135953,0.6889866,0.4857079,0.7737851,0.7657718,0.2695205,0.515289,0.6829343,0.4940104,0.7555428,0.4803833,0.6822783,0.6570326,0.1807704,0.8347356,0.7046304,0.6088002,0.8222224,0.6854507,0.8226583,0.6387797,0.7878479,0.6487101,0.8261085,0.8244293,0.7251398,0.8328055,0.5916564
"GML_P281_R",0.7983503,0.8212851,0.7701085,0.3401178,0.6505056,0.8649268,0.8131189,0.7772768,0.7151721,0.8169647,0.71908,0.859205,0.5538349,0.8687842,0.7589135,0.6875337,0.7490204,0.8720592,0.8319973,0.8373109,0.4407925,0.6958336,0.8782556,0.2055223,0.8554556,0.8783138,0.8635086,0.7276686,0.7780774,0.4331248,0.7609151,0.8716817,0.790094,0.7673743,0.784106,0.7679812,0.8807149,0.8934577,0.8928691,0.9053307,0.9070785,0.910449,0.8505775,0.8707516,0.8964258,0.904532,0.9075663,0.9029624,0.8944657,0.9020147,0.9144765,0.8971093,0.9012804,0.8986281,0.8776019,0.8993054,0.8954815,0.8977389,0.9324407,0.9169923,0.9067456,0.9089219,0.9265628,0.8857154,0.8751786,0.9064766,0.8237479,0.9117882,0.9255138,0.9193882,0.8715153,0.9213991,0.8728264,0.8966465,0.9276761,0.8437957,0.8853523,0.8410124,0.8567789,0.7248906,0.8989912,0.9207213,0.4137714,0.9026348,0.902487,0.9144952,0.9177963,0.8897513,0.872618,0.879648,0.722388,0.9118024,0.737928,0.8470423,0.9101343,0.8085392,0.8482761,0.876131,0.8744043,0.8960994,0.887979,0.8774387,0.8935929,0.909484,0.8557625
"GNAS_E58_F",0.5290744,0.6219091,0.6707619,0.6313266,0.7002414,0.7508301,0.5409073,0.7439469,0.7490053,0.1983921,0.6909133,0.8399716,0.5590003,0.8435699,0.7031062,0.6833608,0.6208621,0.780937,0.7899956,0.4300012,0.2551809,0.663194,0.895935,0.2498724,0.7498931,0.6992192,0.7361958,0.6618756,0.1133537,0.4272487,0.7822892,0.764446,0.7159035,0.7906759,0.7355187,0.7156798,0.8283567,0.8150226,0.7377297,0.8660979,0.7437683,0.7916239,0.7518854,0.7449821,0.2701474,0.4858348,0.8709828,0.8757315,0.8240404,0.7938556,0.8253294,0.8026741,0.8167937,0.793407,0.7557305,0.8354825,0.8013771,0.801104,0.805257,0.795738,0.2529351,0.8160736,0.8218628,0.5554502,0.5592524,0.8785863,0.6721011,0.8099344,0.8100456,0.4037236,0.7875465,0.2445327,0.7967935,0.5632764,0.8775991,0.768962,0.6497737,0.6205627,0.5702185,0.8741208,0.8076741,0.8097361,0.8091415,0.7656767,0.4940397,0.8174214,0.2782675,0.8556557,0.7593127,0.7565889,0.5115172,0.7941418,0.3780209,0.7169154,0.7998247,0.3188995,0.80666,0.6677328,0.7989882,0.6584978,0.813434,0.7807879,0.2843151,0.8222166,0.7751948
"GNAS_P86_F",0.2710121,0.3971661,0.3222125,0.3958335,0.4620105,0.6492703,0.5401142,0.5986388,0.5692368,0.1564651,0.4795448,0.6482323,0.2974277,0.6558105,0.604792,0.4763236,0.3497001,0.7092584,0.6233979,0.5069774,0.4322685,0.5040643,0.8686842,0.2817826,0.5455911,0.612654,0.6219242,0.4876182,0.06356582,0.2770813,0.7231857,0.5841122,0.5121244,0.6615818,0.6491496,0.6623845,0.6680178,0.6536039,0.5990531,0.7926415,0.606396,0.6314889,0.6230759,0.3317691,0.1878921,0.2563105,0.8775566,0.8768333,0.7325451,0.7002295,0.7725122,0.6511393,0.7467532,0.6936107,0.6760473,0.7737508,0.7330762,0.7879974,0.763421,0.7625147,0.1497252,0.768606,0.6795928,0.4173915,0.3321734,0.8808967,0.4570102,0.7114375,0.7527807,0.2692665,0.6454537,0.2350318,0.6990175,0.407469,0.869177,0.7054357,0.5865608,0.4183459,0.4753047,0.8471008,0.7068573,0.7244912,0.7738128,0.6836442,0.3422693,0.7300131,0.1926369,0.7638662,0.6752437,0.6125951,0.3788171,0.7181045,0.2036029,0.606589,0.7007762,0.1707477,0.6171962,0.4612367,0.6507577,0.4869302,0.6050753,0.6078581,0.1907519,0.7459034,0.6181055
"GNG7_E310_R",0.7847766,0.8154061,0.7218683,0.6873478,0.7737234,0.8393162,0.7182339,0.7303093,0.8241048,0.805389,0.8337142,0.8324785,0.6389443,0.7704675,0.8359665,0.772664,0.7591985,0.8551415,0.7913717,0.8482023,0.7862009,0.8218507,0.9206057,0.2174615,0.8270007,0.9073534,0.9039099,0.8068206,0.7967361,0.8742889,0.8256152,0.9045638,0.8947351,0.8924384,0.9048463,0.8676807,0.9007145,0.9152694,0.9098406,0.9240577,0.9245529,0.9208213,0.8768562,0.8566308,0.9126272,0.8817715,0.9117757,0.9046245,0.9114912,0.9214485,0.9434295,0.9242888,0.9015565,0.8884354,0.9054352,0.90266,0.9265684,0.9160845,0.942755,0.940014,0.9059947,0.9246885,0.906236,0.9086679,0.8946957,0.9173115,0.8716958,0.9153169,0.9225299,0.9049393,0.9107451,0.9286806,0.8788493,0.8904497,0.9419819,0.9241618,0.9179675,0.8580111,0.8846171,0.9019527,0.915766,0.9180782,0.9281431,0.9002638,0.9103258,0.8999521,0.9010276,0.9102498,0.9096348,0.9136665,0.7791321,0.9142499,0.7277845,0.8606728,0.8994054,0.8261065,0.8378831,0.8453503,0.8721719,0.8582734,0.8770277,0.851499,0.8476151,0.9122787,0.84486
"GNG7_P903_F",0.558382,0.6000017,0.5498275,0.378395,0.6229948,0.7611412,0.7035029,0.5538062,0.7221748,0.4797824,0.6281038,0.5464318,0.3396323,0.5164527,0.5111386,0.6423812,0.5119197,0.5819342,0.8339657,0.695438,0.4256124,0.6196589,0.7953794,0.2630172,0.5369422,0.7604696,0.5553571,0.2806663,0.4912767,0.5917087,0.4358492,0.6422159,0.5692353,0.7274228,0.7348513,0.6731659,0.6239114,0.629978,0.5429673,0.3651889,0.6979315,0.7850924,0.6347892,0.4446388,0.7678769,0.5970938,0.7084929,0.7776739,0.7551834,0.7570814,0.7590824,0.7613454,0.7970704,0.6252378,0.4952509,0.7590602,0.7053845,0.7769108,0.8508782,0.8330675,0.7648688,0.6934392,0.8031754,0.7544028,0.6264556,0.7265381,0.6012534,0.7847838,0.8164638,0.7694877,0.579948,0.79381,0.7793538,0.7609952,0.7907194,0.7337488,0.7059874,0.3849085,0.654653,0.7216023,0.6992058,0.6947965,0.7648228,0.7138775,0.7737195,0.7425199,0.7552792,0.7086728,0.5235988,0.4897456,0.4138461,0.8135427,0.5960297,0.6617184,0.7294409,0.6498262,0.7363328,0.7731127,0.762579,0.7476043,0.7768167,0.7596373,0.7339836,0.8033614,0.6651654
