"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"CDX2",14.35506,14.46222,12.82598,14.24626,13.88354,14.09298,14.22222,13.76316,13.9578,10.90034,4.4198,10.48166,10.1043,8.74658,6.36362,4.59864,14.55144,12.2037,3.87556,5.90268,12.44706,5.9844,12.95028,12.94328,15.21354,8.68194,14.56182,13.9348,6.359,11.94456,9.74872,6.50582,13.36682,12.74846,7.0856,12.56056,6.04224,7.8572,13.75394,11.61652
"EOMES",8.27006,10.31082,9.33708,6.47636,10.17104,8.04688,8.57082,4.19086,10.7995,7.02954,0.7636,0.47136,7.5212,6.10398,7.47762,4.77114,6.51874,9.9198,0.51836,1.89078,4.05886,2.4956,7.47818,11.33938,8.55344,1.51514,8.68392,8.0903,12.0457,10.57946,8.47262,2.04112,8.85642,10.50506,2.2129,9.05526,9.60294,7.0794,2.39294,8.61932
"GCM1",13.72666,14.35502,13.64448,13.78996,13.57744,14.09298,14.22222,13.76316,13.83,10.90034,12.0274,14.22386,13.1739,11.49618,13.78672,13.16024,14.48784,12.2037,11.30636,14.14718,11.80136,13.4227,14.59408,12.16838,12.84104,13.85004,14.56182,12.8222,12.4704,11.94456,9.82732,12.19832,13.79582,12.74846,14.1062,13.40366,11.94804,12.236,12.13394,11.61652
"KRT1",12.73546,11.61352,13.64448,14.24626,13.88354,14.09298,14.22222,13.38296,9.4776,7.87264,12.0274,6.20816,13.1739,14.22228,6.86442,7.49544,15.48494,5.0258,9.52286,11.77288,10.62596,13.4227,14.59408,7.84348,10.90984,11.34484,14.56182,5.3391,7.0175,9.09276,12.25582,13.22642,10.02092,10.91646,14.4438,13.40366,11.94804,12.6651,14.28924,11.61652
"AFP",11.13976,12.62192,13.64448,14.24626,12.70614,9.34068,14.22222,9.01126,13.9578,10.78724,-1.0723,4.26856,11.6422,3.91128,0.46782,-1.24646,15.48494,12.1338,0.97786,4.22818,12.44706,1.1144,14.59408,10.71618,10.94024,-0.09156,14.56182,9.7638,10.6854,11.94456,7.84472,-1.03028,9.83782,12.74846,1.3963,13.40366,11.94804,4.3824,12.70464,11.61652
"SERPINA1",5.66686,7.58212,5.93198,3.39766,6.44954,4.37088,4.03512,4.85016,4.3347,6.47964,-1.643,5.09296,4.3083,3.58378,1.78352,0.51874,3.52964,6.5858,1.59626,5.48598,6.00936,1.5771,3.74948,6.45938,6.11904,-0.80516,6.81452,0.7607,3.0076,2.26746,6.61142,-0.56578,5.46422,8.05486,-1.6806,8.92446,-1.29366,1.526,7.40484,3.06762
"FN1",-0.85614,-1.87948,2.09588,3.52976,-1.51496,1.01858,2.24672,0.63656,-2.9928,-0.16676,-4.0984,-1.09124,0.4978,-0.23982,-0.34338,-1.43586,2.66334,2.9703,-3.55044,-1.54222,-0.53954,-3.3268,2.21018,1.17598,1.10884,-3.81016,3.01812,-0.9577,-0.0726,0.92176,0.71952,-2.95288,-0.19378,1.02316,-4.7403,1.71026,1.06174,-0.8265,-0.45106,-0.86408
"LAMA1",6.55376,5.93382,6.97918,6.07476,5.85144,6.54218,6.60212,4.77736,8.9593,6.33664,2.9205,6.15326,10.3362,8.33378,5.51592,4.20764,7.31004,11.0944,3.42366,3.54428,7.39946,3.5313,7.30298,7.22658,6.32584,3.77844,7.16302,7.8551,6.5946,8.43306,6.92412,3.68152,7.06242,6.54656,2.7974,4.56226,6.55384,5.2949,5.76464,7.81702
"LAMB1",2.60726,14.46222,2.67658,4.66406,1.63654,2.12098,3.94242,2.20456,1.6479,-0.36696,-1.4867,1.61096,3.4225,1.94588,1.27902,0.85014,4.43014,3.8311,-0.07814,1.19198,0.86416,0.4769,4.11148,3.03718,4.32544,-0.07486,3.87922,0.4254,1.8318,1.45136,1.43002,0.17612,2.91912,2.33636,0.8042,1.44366,0.07134,0.9364,1.35624,1.42802
"LAMC1",2.61246,0.54422,0.21368,1.57726,-0.07776,0.37418,1.56052,1.58776,0.5576,1.43754,1.1316,1.16196,1.3846,1.28518,1.32122,0.26564,2.23804,4.8886,1.38386,0.50688,0.64326,1.6091,1.09518,1.12878,2.81304,1.25304,0.88002,0.3796,-0.1726,0.92526,1.66572,1.44242,1.77092,0.93136,1.2537,0.17136,0.90404,-0.078,1.79074,2.23722
