"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"hsa_miR_145",106.3,94.3,58.9,20.8,176.5,51.8,130.2,51.7,813.3,108.6,80.8,178.2,443.5,61.6,27.3,205.6,31.5,66.6,23.7,72.1,21.4,58.2,57.8,89.6,38.3,67.9,33.4,78.7,199.1,221.9,174.2,133.3,79.7,37.6,289,115.1,286.6,67.3,23.9,342.6
"hsa_miR_423_5p",122.2,312.2,136.6,229.1,340.4,333.7,174,210.1,196.3,1,151.9,62,112,248.8,78.3,104.5,92.5,147.8,60,178.1,84.7,458.7,137,93.3,152.2,159.1,93.4,349.1,206.6,250,98.1,59.7,245.6,128.1,37.2,72.7,80.5,330.6,25.9,80.3
"hsa_miR_205",1,94.3,17.5,13.6,9.2,47.9,32.9,51.7,1,92.7,294.1,315.1,1,195.3,369.7,463,20.6,878.6,544.1,41.9,241,272.6,27.2,1,6.4,222.9,29.4,50.5,1,141.7,16.7,551.2,1,1,210.1,65.9,1,18.9,1,1
"hsa_miR_19b",13,522.1,245.3,196.8,145.2,137.9,58.2,438.8,101.4,649.6,219.5,20.6,32.2,98.5,5.9,121.9,125.3,229,79.6,533.8,71.8,511.3,172.7,128.1,177.2,150,117.5,213.9,120.3,406.4,124.7,46.6,98,102.1,34.8,91.9,21.4,438,1,61.1
"hsa_miR_148b",128.1,78.2,77,164.5,99.8,89,129.2,139.7,97.6,267.7,130.6,155.9,114.7,187.7,171.3,125,110,62.5,88.7,170.5,95,179.5,73.2,119,108.9,111.2,43.4,173,139,161.8,130,103.5,91,118.5,70.2,55,200.1,126.4,42.6,34.5
"hsa_miR_199a_3p_hsa_miR_199b_3p",130.3,45.9,46,24.4,124.2,85.1,78.6,34.1,136.8,68.8,38.2,485.1,41.1,126.5,539.1,204,114.4,1.6,1,34.3,229.4,25.8,114,152,74.7,4.1,69.4,179.3,214.1,77.5,121.1,29.8,100.8,199.5,111.8,61.8,81.8,18.9,12.7,114.2
"hsa_miR_122",1,78.2,1,35.2,9.2,1,1,16.5,1,1,1190,1,1,20.8,46.3,123.4,3.1,1.6,597,79.7,1,280.7,1,1,4.1,371,1,1,5.7,5.4,1,1020.4,1,1,593.6,1,1,18.9,1,1
"hsa_let_7i",223.2,45.9,48.6,46,54.5,42,136,1,169.7,68.8,16.8,291.5,90,85.8,147.2,104.5,112.2,21.9,49.4,49.4,100.2,42,241.6,106.1,90.6,20,15.3,103.9,37.6,37.4,80.4,35.4,214.7,80.1,109.4,29.1,73.5,35,192.7,97.7
"hsa_miR_193a_3p",5.7,417.1,58.9,283,120.8,161.4,2.7,430,96.4,840.6,166.2,11.5,24.6,92.1,1,120.3,51.1,1,49.4,526.3,55,406.1,96.1,104.3,38.3,138.6,129.5,119.6,77.1,318.2,117.6,32.6,22.1,71.9,18.6,1,12.5,529.4,1,53.7
"hsa_miR_99a",418,134.7,27.9,60.3,58,69.4,30.9,113.3,58.4,172.2,41.7,210.5,164.3,140.5,181.6,117.1,62,86.9,14.6,94.8,105.4,50.1,32.3,163,29.1,13.2,11.3,119.6,214.1,97.6,46.8,36.3,103.6,121.3,33.5,40,57.6,83.4,116.5,128.9
"hsa_miR_103",158.1,62,69.3,103.4,58,32.2,159.4,51.7,106.5,1,102.2,128.6,107.2,84.5,261.7,139.2,101.3,86.9,34.3,49.4,76.9,147.2,126.7,65.7,104.3,90.7,81.4,119.6,65.8,73.5,85.7,138,86.7,110.3,239.9,83.7,73.5,61.9,141.3,30.8
"hsa_miR_26a",138,5.5,46,24.4,5.7,18.5,191.5,1,62.2,1,20.4,185.2,239.9,57.7,146.7,104.5,96.9,26,78.1,1,66.6,1.5,111.4,27.2,56.5,26.9,101.4,31.6,35.8,41.5,84,83.9,72.7,21.1,300.2,134.2,285.3,24.3,129.5,194.9
"hsa_miR_191",120.4,62,71.9,74.7,106.8,96.8,220.7,78.1,136.8,68.8,95.1,105.4,124.4,167.3,117.1,106.1,70.7,143.7,87.2,147.8,88.6,454.6,103.8,100.6,122.5,238.8,57.4,103.9,95.8,77.5,91,274.2,83.9,63.6,100.7,214.7,146.7,131.8,35.3,46.4
